id,title,description,availability,condition,price,link,image_link,brand,google_product_category,additional_image_link,availability_circle_origin.latitude,availability_circle_origin.longitude,availability_circle_radius,availability_circle_radius_unit,availability_postal_codes
curso-pagina_121,Inteligência Artificial,Inteligência Artificial - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead/inteligencia-artificial,https://storage.googleapis.com/cms-site-integrado/inteligencia_artificial_ead_49fe70e26d/inteligencia_artificial_ead_49fe70e26d.png,Grupo Integrado,Educação > EAD,https://storage.googleapis.com/cms-site-integrado/large_inteligencia_artificial_ead_49fe70e26d/large_inteligencia_artificial_ead_49fe70e26d.png,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_127,Gestão Financeira,Gestão Financeira - Semipresencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/semipresencial/gestao-financeira,https://storage.googleapis.com/cms-site-integrado/gestao_financeira_semipresencial_a9718f3f53/gestao_financeira_semipresencial_a9718f3f53.png,Grupo Integrado,Educação > Graduação,https://storage.googleapis.com/cms-site-integrado/medium_gestao_financeira_semipresencial_a9718f3f53/medium_gestao_financeira_semipresencial_a9718f3f53.png,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_45_img1,Medicina Veterinária,Medicina Veterinária - Presencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/presencial/medicina-veterinaria,https://storage.googleapis.com/cms-site-integrado/integrado_Catalogo_Presencial_Medicina_Veterinaria1920x1080_50a445d208/integrado_Catalogo_Presencial_Medicina_Veterinaria1920x1080_50a445d208.png,Grupo Integrado,Educação > Medicina,https://storage.googleapis.com/cms-site-integrado/large_integrado_Catalogo_Presencial_Medicina_Veterinaria1920x1080_50a445d208/large_integrado_Catalogo_Presencial_Medicina_Veterinaria1920x1080_50a445d208.png,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_45_img2,Medicina Veterinária,Medicina Veterinária - Presencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/presencial/medicina-veterinaria,https://storage.googleapis.com/cms-site-integrado/integrado_Catalogo_Presencial_Medicina_Veterinaria1080x1080_9232094318/integrado_Catalogo_Presencial_Medicina_Veterinaria1080x1080_9232094318.png,Grupo Integrado,Educação > Medicina,https://storage.googleapis.com/cms-site-integrado/large_integrado_Catalogo_Presencial_Medicina_Veterinaria1080x1080_9232094318/large_integrado_Catalogo_Presencial_Medicina_Veterinaria1080x1080_9232094318.png,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_24,Análise e Desenvolvimento de Sistemas,Análise e Desenvolvimento de Sistemas - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead/analise-e-desenvolvimento-de-sistemas,https://storage.googleapis.com/cms-site-integrado/tads_ead_17555f4a7b/tads_ead_17555f4a7b.webp,Grupo Integrado,Educação > EAD,https://storage.googleapis.com/cms-site-integrado/large_tads_ead_17555f4a7b/large_tads_ead_17555f4a7b.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_41,Engenharia de Automação e Elétrica Industrial,Engenharia de Automação e Elétrica Industrial - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/pos-graduacao/ead/engenharia-de-automacao-e-eletrica-industrial,https://storage.googleapis.com/cms-site-integrado/engenharia_eletrica_2936c518a7/engenharia_eletrica_2936c518a7.webp,Grupo Integrado,Educação > Engenharia,https://storage.googleapis.com/cms-site-integrado/large_engenharia_eletrica_2936c518a7/large_engenharia_eletrica_2936c518a7.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_33,Gestão Financeira,Gestão Financeira - EAD - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/ead/gestao-financeira,https://storage.googleapis.com/cms-site-integrado/gestao_financeira_c7889cb745/gestao_financeira_c7889cb745.webp,Grupo Integrado,Educação > EAD,https://storage.googleapis.com/cms-site-integrado/large_gestao_financeira_c7889cb745/large_gestao_financeira_c7889cb745.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_125,Mídias Sociais Digitais,Mídias Sociais Digitais - Semipresencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/semipresencial/midias-sociais-digitais,https://storage.googleapis.com/cms-site-integrado/midias_sociais_digitais_semipresencial_ceb64fec27/midias_sociais_digitais_semipresencial_ceb64fec27.png,Grupo Integrado,Educação > Graduação,https://storage.googleapis.com/cms-site-integrado/large_midias_sociais_digitais_semipresencial_ceb64fec27/large_midias_sociais_digitais_semipresencial_ceb64fec27.png,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_15,Agronomia,Agronomia - Semipresencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/semipresencial/agronomia,https://storage.googleapis.com/cms-site-integrado/agro_f46e4a4feb/agro_f46e4a4feb.webp,Grupo Integrado,Educação > Agronomia,https://storage.googleapis.com/cms-site-integrado/large_agro_f46e4a4feb/large_agro_f46e4a4feb.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
curso-pagina_19,Estética e Cosmética,Estética e Cosmética - Semipresencial - Grupo Integrado. Educação de qualidade e tradição.,in stock,new,0.00 BRL,https://www.grupointegrado.br/graduacao/semipresencial/estetica-e-cosmetica,https://storage.googleapis.com/cms-site-integrado/estetica_e_cosmetica_semi_8d91cf81fd/estetica_e_cosmetica_semi_8d91cf81fd.webp,Grupo Integrado,Educação > Graduação,https://storage.googleapis.com/cms-site-integrado/large_estetica_e_cosmetica_semi_8d91cf81fd/large_estetica_e_cosmetica_semi_8d91cf81fd.webp,-24.043300,-52.378100,80,km,"87300-000,87301-000,87302-000,87303-000,87304-000,87305-000,87306-000,87307-000,87308-000,87309-000"
